line,name,value,domain,subdomain,notes,annual_update,duplicated_at
1536,PE.eligDivCr,0.105,fiscal,prov-div-credits,PE eligible DTC,yes,
1536,PE.nonEligDivCr,0.013,fiscal,prov-div-credits,PE non-eligible DTC (FIXED from 0.027),yes,
1536,PE.ageAmt,4862,fiscal,prov-credits,PE age amount,yes,
1536,PE.penAmt,1000,fiscal,prov-credits,PE pension amount,yes,
1537,NL.b,"[44062,88123,157329,220262,281387,562714]",fiscal,prov-tax,NL bracket thresholds (6),yes,
1537,NL.r,"[0.087,0.145,0.158,0.178,0.198,0.208,0.213]",fiscal,prov-tax,NL marginal rates (7),yes,
1537,NL.pd,11034,fiscal,prov-tax,NL personal deduction,yes,
1537,NL.eligDivCr,0.063,fiscal,prov-div-credits,NL eligible DTC,yes,
1537,NL.nonEligDivCr,0.032,fiscal,prov-div-credits,NL non-eligible DTC (FIXED from 0.021739),yes,
1537,NL.ageAmt,7742,fiscal,prov-credits,NL age amount,yes,
1537,NL.ageThresh,39880,fiscal,prov-credits,NL age threshold,yes,
1537,NL.penAmt,1000,fiscal,prov-credits,NL pension amount,yes,
1538,NT.b,"[51963,103931,169067]",fiscal,prov-tax,NT bracket thresholds,yes,
1538,NT.r,"[0.059,0.086,0.122,0.1405]",fiscal,prov-tax,NT marginal rates,yes,
1538,NT.pd,17041,fiscal,prov-tax,NT personal deduction,yes,
1538,NT.eligDivCr,0.115,fiscal,prov-div-credits,NT eligible DTC,yes,
1538,NT.nonEligDivCr,0.06,fiscal,prov-div-credits,NT non-eligible DTC (FIXED from 0.02302),yes,
1538,NT.ageAmt,8200,fiscal,prov-credits,NT age amount,yes,
1538,NT.penAmt,1000,fiscal,prov-credits,NT pension amount,yes,
1539,YT.b,"[58523,117045,181440,258482,500000]",fiscal,prov-tax,YT bracket thresholds (5),yes,
1539,YT.r,"[0.064,0.09,0.109,0.128,0.15,0.16]",fiscal,prov-tax,YT marginal rates (6),yes,
1539,YT.pd,16452,fiscal,prov-tax,YT personal deduction,yes,
1539,YT.eligDivCr,0.1202,fiscal,prov-div-credits,YT eligible DTC (FIXED from 0.12689),yes,
1539,YT.nonEligDivCr,0.0067,fiscal,prov-div-credits,YT non-eligible DTC (FIXED from 0.0135),yes,
1539,YT.ageAmt,8790,fiscal,prov-credits,YT age amount,yes,
1539,YT.ageThresh,44325,fiscal,prov-credits,YT age threshold,yes,
1539,YT.penAmt,2000,fiscal,prov-credits,YT pension amount,yes,
1540,NU.b,"[54333,108668,177231]",fiscal,prov-tax,NU bracket thresholds,yes,
1540,NU.r,"[0.04,0.07,0.09,0.115]",fiscal,prov-tax,NU marginal rates,yes,
1540,NU.pd,18284,fiscal,prov-tax,NU personal deduction,yes,
1540,NU.eligDivCr,0.0551,fiscal,prov-div-credits,NU eligible DTC,yes,
1540,NU.nonEligDivCr,0.025904,fiscal,prov-div-credits,NU non-eligible DTC,yes,
1540,NU.ageAmt,14865,fiscal,prov-credits,NU age amount,yes,
1540,NU.penAmt,2000,fiscal,prov-credits,NU pension amount,yes,
1552,(eligible gross-up),1.38,fiscal,dividends,38% gross-up for eligible dividends,rarely,
1553,(non-eligible gross-up),1.15,fiscal,dividends,15% gross-up for non-eligible dividends,rarely,
1566,_ageAmt,8790,fiscal,federal-credits,Federal age credit amount,yes,
1567,_ageThresh,44325,fiscal,federal-credits,Federal age credit income threshold,yes,
1587,fedEligCr,0.150198,fiscal,federal-div-credits,Federal eligible DTC rate,rarely,
1588,fedNonEligCr,0.090301,fiscal,federal-div-credits,Federal non-eligible DTC rate,rarely,
1632,ON_SURTAX_THR1,4991,fiscal,ON-surtax,20% surtax threshold (indexed),yes,
1632,ON_SURTAX_RATE1,0.20,fiscal,ON-surtax,ON surtax rate tier 1,rarely,
1633,ON_SURTAX_THR2,6387,fiscal,ON-surtax,36% additional surtax threshold (indexed),yes,
1633,ON_SURTAX_RATE2,0.36,fiscal,ON-surtax,ON surtax rate tier 2,rarely,
1658,SBD_LIMIT,500000,corporate,SBD,Small business deduction limit (indexed),rarely,
1660,PASSIVE_GRIND_THR,50000,corporate,SBD-grind,$50K passive income threshold,rarely,
1661,PASSIVE_GRIND_FACTOR,5,corporate,SBD-grind,$5 per $1 excess,rarely,
1664,QC_CORP_SMALL,0.122,corporate,CCPC-rates,QC combined small biz rate,yes,
1664,QC_CORP_GENERAL,0.265,corporate,CCPC-rates,QC combined general rate,yes,
1664,QC_CORP_PASSIVE,0.5017,corporate,CCPC-rates,QC passive investment rate,yes,
1665,ON_CORP_SMALL,0.122,corporate,CCPC-rates,ON combined small biz rate,yes,
1665,ON_CORP_GENERAL,0.265,corporate,CCPC-rates,ON combined general rate,yes,
1665,ON_CORP_PASSIVE,0.5017,corporate,CCPC-rates,ON passive investment rate,yes,
1666,BC_CORP_SMALL,0.11,corporate,CCPC-rates,BC combined small biz rate,yes,
1666,BC_CORP_GENERAL,0.27,corporate,CCPC-rates,BC combined general rate,yes,
1666,BC_CORP_PASSIVE,0.5067,corporate,CCPC-rates,BC passive investment rate,yes,
1667,AB_CORP_SMALL,0.11,corporate,CCPC-rates,AB combined small biz rate,yes,
1667,AB_CORP_GENERAL,0.23,corporate,CCPC-rates,AB combined general rate,yes,
1667,AB_CORP_PASSIVE,0.4667,corporate,CCPC-rates,AB passive investment rate,yes,
1668,SK_CORP_SMALL,0.11,corporate,CCPC-rates,SK combined small biz rate,yes,
1668,SK_CORP_GENERAL,0.27,corporate,CCPC-rates,SK combined general rate,yes,
1668,SK_CORP_PASSIVE,0.5067,corporate,CCPC-rates,SK passive investment rate,yes,
1669,MB_CORP_SMALL,0.11,corporate,CCPC-rates,MB combined small biz rate,yes,
1669,MB_CORP_GENERAL,0.27,corporate,CCPC-rates,MB combined general rate,yes,
1669,MB_CORP_PASSIVE,0.5067,corporate,CCPC-rates,MB passive investment rate,yes,
1670,NB_CORP_SMALL,0.115,corporate,CCPC-rates,NB combined small biz rate,yes,
1670,NB_CORP_GENERAL,0.29,corporate,CCPC-rates,NB combined general rate,yes,
1670,NB_CORP_PASSIVE,0.5267,corporate,CCPC-rates,NB passive investment rate,yes,
1671,NS_CORP_SMALL,0.115,corporate,CCPC-rates,NS combined small biz rate,yes,
1671,NS_CORP_GENERAL,0.29,corporate,CCPC-rates,NS combined general rate,yes,
1671,NS_CORP_PASSIVE,0.5267,corporate,CCPC-rates,NS passive investment rate,yes,
1672,PE_CORP_SMALL,0.10,corporate,CCPC-rates,PE combined small biz rate,yes,
1672,PE_CORP_GENERAL,0.31,corporate,CCPC-rates,PE combined general rate,yes,
1672,PE_CORP_PASSIVE,0.5467,corporate,CCPC-rates,PE passive investment rate,yes,
1673,NL_CORP_SMALL,0.12,corporate,CCPC-rates,NL combined small biz rate,yes,
1673,NL_CORP_GENERAL,0.30,corporate,CCPC-rates,NL combined general rate,yes,
1673,NL_CORP_PASSIVE,0.5367,corporate,CCPC-rates,NL passive investment rate,yes,
1674,NT_CORP_SMALL,0.11,corporate,CCPC-rates,NT combined small biz rate,yes,
1674,NT_CORP_GENERAL,0.265,corporate,CCPC-rates,NT combined general rate,yes,
1674,NT_CORP_PASSIVE,0.5017,corporate,CCPC-rates,NT passive investment rate,yes,
1675,YT_CORP_SMALL,0.11,corporate,CCPC-rates,YT combined small biz rate,yes,
1675,YT_CORP_GENERAL,0.27,corporate,CCPC-rates,YT combined general rate,yes,
1675,YT_CORP_PASSIVE,0.5067,corporate,CCPC-rates,YT passive investment rate,yes,
1676,NU_CORP_SMALL,0.12,corporate,CCPC-rates,NU combined small biz rate,yes,
1676,NU_CORP_GENERAL,0.27,corporate,CCPC-rates,NU combined general rate,yes,
1676,NU_CORP_PASSIVE,0.5067,corporate,CCPC-rates,NU passive investment rate,yes,
1686,RDTOH_RATE,0.3067,corporate,RDTOH,30.67% of passive income,rarely,
1494,OAS_CLAWBACK_THR,95323,gov-programs,OAS,2026 recovery threshold,yes,
1495,OAS_MAX_MONTHLY,742.31,gov-programs,OAS,2026 max at 65,yes,
1714,OAS_DEFERRAL_BONUS,0.006,gov-programs,OAS,0.6%/month after 65,rarely,
1715,OAS_MAX_ADJ,1.36,gov-programs,OAS,Cap at age 70,rarely,
1718,OAS_75_BONUS,1.10,gov-programs,OAS,+10% at age 75+,rarely,
1720,OAS_CLAWBACK_RATE,0.15,gov-programs,OAS,15% recovery tax,rarely,
1498,QPP_MAX_MONTHLY,1507.65,gov-programs,QPP/CPP,2026 max at 65 incl. enhancement,yes,
1499,QPP_MGA,74600,gov-programs,QPP/CPP,2026 YMPE,yes,
1500,QPP_YAMPE,85000,gov-programs,QPP/CPP,2026 second ceiling,yes,
1501,QPP2_MAX_MONTHLY,81.00,gov-programs,QPP2/CPP2,2026 CPP2 enhancement est.,yes,
1701,QPP_MAX_YEARS,40,gov-programs,QPP/CPP,Max contributory years,rarely,
1703,QPP_EARLY_FACTOR,0.006,gov-programs,QPP/CPP,0.6%/month reduction before 65,rarely,
1704,QPP_LATE_FACTOR,0.007,gov-programs,QPP/CPP,0.7%/month bonus after 65,rarely,
1705,QPP_ADJ_FLOOR,0.64,gov-programs,QPP/CPP,Min factor (age 60),rarely,
1705,QPP_ADJ_CAP,1.42,gov-programs,QPP/CPP,Max factor (age 70),rarely,
5043,QPP_SURVIVOR_CAP,784,gov-programs,QPP/CPP,Monthly survivor cap,rarely,
5043,QPP_SURVIVOR_FRACTION,0.60,gov-programs,QPP/CPP,60% of deceased QPP,rarely,
1496,GIS_MAX_SINGLE,1105.43,gov-programs,GIS,2026 Q1 max single,quarterly,
1497,GIS_MAX_COUPLE,665.41,gov-programs,GIS,2026 Q1 max couple,quarterly,
1729,GIS_EMP_EXEMPT,5000,gov-programs,GIS,First $5K fully exempt,rarely,
1731,GIS_EMP_PARTIAL_CEIL,15000,gov-programs,GIS,50% exempt zone ceiling,rarely,
1736,GIS_PARTIAL_RATE,0.50,gov-programs,GIS,50% on $5K-$15K,rarely,
1742,GIS_REDUCTION_RATE,0.50,gov-programs,GIS,50% clawback,rarely,
3900,GIS_INCOME_THRESHOLD,22000,gov-programs,GIS,GIS-aware withdrawal threshold,no,
5025,GST_CREDIT_SINGLE,519,gov-programs,GST-credit,2025 base,yes,
5026,GST_CREDIT_SPOUSE,171,gov-programs,GST-credit,Couple supplement,yes,
5028,GST_PHASEOUT_THR,44324,gov-programs,GST-credit,5% clawback threshold,yes,
5029,GST_PHASEOUT_RATE,0.05,gov-programs,GST-credit,5% clawback rate,rarely,
5168,CESG_MAX_ELIGIBLE,2500,gov-programs,RESP,Annual CESG-eligible contribution,rarely,
5168,CESG_MATCH_RATE,0.20,gov-programs,RESP,20% grant rate,rarely,
5170,RESP_GROWTH_RATE,0.05,defaults,RESP,5% annual growth assumption,no,
4521,QPP_BASIC_EXEMPT,3500,payroll,QPP/CPP,Basic yearly exemption,yes,
4523,QPP_RATE_QC,0.064,payroll,QPP,QC employee rate 6.4%,yes,
4523,CPP_RATE_ROC,0.0595,payroll,CPP,Rest-of-Canada rate 5.95%,yes,
4528,QPP2_CPP2_RATE,0.04,payroll,QPP2/CPP2,4% on YMPE-YAMPE band,yes,
4530,EI_MIE,65700,payroll,EI,Max insurable earnings,yes,
4531,EI_RATE_QC,0.0127,payroll,EI,QC rate 1.27%,yes,
4531,EI_RATE_ROC,0.0158,payroll,EI,ROC rate 1.58%,yes,
4536,RQAP_MAX,94000,payroll,RQAP,Max insurable,yes,
4537,RQAP_RATE,0.00494,payroll,RQAP,0.494% employee rate,yes,
4549,INF_DEFAULT,0.021,defaults,inflation,2.1% default,no,L1825 L3814
4550,EQRET_DEFAULT,0.07,defaults,markets,7% equity return,no,L3815
4551,EQVOL_DEFAULT,0.16,defaults,markets,16% equity volatility,no,
4552,BNDRET_DEFAULT,0.035,defaults,markets,3.5% bond return,no,L3815
4553,BNDVOL_DEFAULT,0.06,defaults,markets,6% bond volatility,no,
4555,ALLOCR_DEFAULT,0.60,defaults,allocation,RRSP equity 60%,no,L1826 L3816 L6095
4556,ALLOCT_DEFAULT,0.80,defaults,allocation,TFSA equity 80%,no,L1826 L3816 L6095
4557,ALLOCN_DEFAULT,0.50,defaults,allocation,NR equity 50%,no,L1826 L3816 L6095
4578,CAN_RET,0.070,markets,multi-asset,Canadian equity return,no,L3823
4579,CAN_VOL,0.16,markets,multi-asset,Canadian equity vol,no,
4580,US_RET,0.080,markets,multi-asset,US equity return,no,L3823
4581,US_VOL,0.17,markets,multi-asset,US equity vol,no,
4582,INTL_RET,0.070,markets,multi-asset,International equity return,no,L3823
4583,INTL_VOL,0.18,markets,multi-asset,International equity vol,no,
4584,EM_RET,0.085,markets,multi-asset,Emerging markets return,no,L3823
4585,EM_VOL,0.23,markets,multi-asset,Emerging markets vol,no,
4780,PE_RET,0.12,markets,PE,Private equity return,no,
4780,PE_VOL,0.25,markets,PE,Private equity vol,no,
4781,PM_RET,0.03,markets,PM,Precious metals return,no,
4781,PM_VOL,0.15,markets,PM,Precious metals vol,no,
4782,DC_RET,0.05,defaults,pension,DC plan return,no,
4782,DC_VOL,0.08,markets,pension,DC plan vol,no,
4708,CRISIS_THRESHOLD,-0.15,markets,regime-switch,< -15% triggers crisis,no,
4712,FAT_TAIL_DF,5,markets,distribution,Student-t df for fat tails,no,
4736,STOCH_INF_VOL,0.015,markets,inflation,Stochastic inflation vol,no,
4737,INF_FLOOR,0.005,markets,inflation,Min inflation 0.5%,no,
4737,INF_CAP,0.08,markets,inflation,Max inflation 8%,no,
4742,RE_VOL,0.10,markets,real-estate,Default RE volatility,no,
4743,RE_RHO,0.35,markets,correlation,Equity-RE correlation,no,
4747,CRISIS_RE_RHO,0.6,markets,correlation,Crisis equity-RE correlation,no,
4779,FX_VOL,0.08,markets,FX,Currency volatility,no,
4483,ETF_TURNOVER,0.10,fiscal,NR-tax,Passive ETF turnover 10%,no,
4485,CAN_DIV_YIELD,0.030,markets,dividends,Canadian equity 3.0%,no,
4486,US_DIV_YIELD,0.015,markets,dividends,US equity 1.5%,no,
4487,INTL_EM_DIV_YIELD,0.020,markets,dividends,INTL/EM equity 2.0%,no,
4493,ELIG_DIV_DISCOUNT,0.70,fiscal,dividends,Eligible div tax factor,no,
4494,WHT_RATE,0.15,fiscal,withholding-tax,15% foreign WHT,rarely,
4500,CG_THRESHOLD,250000,fiscal,capital-gains,$250K threshold,when legislation changes,L5531
4500,CG_INC_LO,0.5,fiscal,capital-gains,50% inclusion below threshold,when legislation changes,L5531 L5700
4500,CG_INC_HI,0.6667,fiscal,capital-gains,66.67% above threshold,when legislation changes,L5531 L5700
1746,RRIF_TABLE,"71:0.0528...95:0.20",fiscal,RRIF,25 age-specific minimum rates,rarely,L5865
3809,FHSA_MAX,40000,fiscal,FHSA,Lifetime cap,rarely,
3941,FHSA_ANNUAL,8000,fiscal,FHSA,Annual limit,rarely,L5138
3950,FHSA_MAX_YEARS,15,fiscal,FHSA,Max years before rollover,rarely,L5144
3950,FHSA_MAX_AGE,71,fiscal,FHSA,Must close by 71,rarely,L5144
5606,FTQ_MAX_CONTRIB,5000,fiscal,tax-credits,FTQ/CSN max eligible,rarely,
5606,FTQ_CREDIT_RATE,0.30,fiscal,tax-credits,30% tax credit,rarely,
5613,DONATION_RATE_LOW,0.15,fiscal,donations,Federal 15% on first $200,rarely,
5613,DONATION_RATE_HIGH,0.29,fiscal,donations,Federal 29% above $200,rarely,
5210,FRV_MAX_DIVISOR,90,fiscal,LIRA/FRV,QC FRV max = balance/(90-age),rarely,
5210,FRV_MIN_AGE,55,fiscal,LIRA/FRV,Available from 55,rarely,
5215,LIRA_DUST_THR,100,defaults,cleanup,Liquidate below $100,no,
5509,RDTOH_REFUND_RATE,0.3833,fiscal,CCPC,38.33% of dividends paid,rarely,
5526,LCGE,1250000,fiscal,capital-gains,$1.25M lifetime exemption,when legislation changes,
5049,PENSION_SPLIT_DEFAULT,0.50,fiscal,pension-splitting,50% default split,no,
5063,QPP_SHARING_FACTOR,0.15,fiscal,QPP-sharing,15% tax savings factor,no,
5453,BIZ_SALARY_PCT,0.50,corporate,CCPC,Default salary/dividend split,no,
5474,CORP_PASSIVE_ALLOC,0.40,corporate,CCPC,Corporate retained earnings equity,no,
5494,CORP_EXTRACT_YEARS,10,corporate,CCPC,Years to wind down,no,
5525,BIZ_SALE_ACB,100,corporate,CCPC,Default ACB if not specified,no,
4657,MORTGAGE_RATE,0.05,defaults,real-estate,Default 5%,no,
4658,PROP_APPRECIATION,0.035,defaults,real-estate,Default 3.5%,no,
4661,HELOC_RATE,0.065,defaults,real-estate,Default 6.5%,no,
4662,HELOC_MAX_LTV,0.65,defaults,real-estate,65% max LTV,rarely,
4664,CCA_RATE,0.04,fiscal,real-estate,4% depreciation,rarely,
4664,LAND_PCT,0.30,fiscal,real-estate,30% non-depreciable,no,
4851,RE_DECLINE_FLOOR,-0.20,markets,real-estate,Max 20% annual drop,no,
4884,REFI_MAX_LTV,0.80,fiscal,real-estate,80% refinance max,rarely,
4889,REFI_AMORT,300,defaults,real-estate,25 years × 12 months,no,
4901,RENT_INF,0.02,defaults,real-estate,Rental income inflation 2%,no,
4902,RE_COST_INF,0.03,defaults,real-estate,Operating cost inflation 3%,no,
5366,PROP_SALE_COST,0.95,estate,real-estate,5% transaction cost,no,L4094 L5382
5388,REPLACEMENT_RENT,1500,defaults,housing,Monthly rent after sale,no,L4120
6521,SURVIVOR_INCOME_FACTOR,0.70,defaults,insurance,70% of couple spending,no,
6522,CHILD_COVERAGE,250000,defaults,insurance,$250K per child,no,
6535,FINAL_EXPENSES,15000,defaults,insurance,Funeral/estate costs,no,
5739,PROBATE_ON,"1.5% above $50K",estate,probate,Ontario,rarely,
5740,PROBATE_BC,"1.4% above $50K",estate,probate,British Columbia,rarely,
5741,PROBATE_NS_NB_PE,0.015,estate,probate,1.5% flat,rarely,
5742,PROBATE_NL,0.006,estate,probate,0.6% flat,rarely,
5743,PROBATE_SK,"0.7% capped $7K",estate,probate,Saskatchewan,rarely,
5744,PROBATE_MB,"0.7% capped $7K",estate,probate,Manitoba,rarely,
5745,PROBATE_AB,525,estate,probate,$525 flat,rarely,
5746,PROBATE_QC,1200,estate,probate,$1200 flat (notarized),rarely,
5747,PROBATE_DEFAULT,0.004,estate,probate,0.4% fallback (NT/YT/NU),rarely,
3875,GOP_DEFAULT,1.0,behavior,spending-smile,Go-Go phase 100%,no,
3876,SLP_DEFAULT,0.85,behavior,spending-smile,Slow-Go phase 85%,no,
3877,NOP_DEFAULT,0.75,behavior,spending-smile,No-Go phase 75%,no,
3878,HEALTHMUL_DEFAULT,0.02,behavior,health-costs,2%/yr escalation,no,
3874,HEALTHAGE_DEFAULT,85,behavior,health-costs,Age health costs start,no,
4783,SLP_MC,0.82,behavior,spending-smile,MC Slow-Go (DIVERGENT from 0.85),no,FLAG
4783,NOP_MC,0.92,behavior,spending-smile,MC No-Go (DIVERGENT from 0.75),no,FLAG
4785,HEALTHCOST_MAX,2.0,behavior,health-costs,Cap at 200%,no,
4788,SPENDING_BASE,0.70,behavior,spending-composition,70% general inflation,no,
4788,SPENDING_HOUSING,0.15,behavior,spending-composition,15% housing inflation,no,
4788,SPENDING_HEALTH,0.15,behavior,spending-composition,15% health inflation,no,
5075,GK_MAXCUT,0.25,behavior,Guyton-Klinger,Max cumulative cut 25%,no,
5076,GK_CEIL,0.055,behavior,Guyton-Klinger,Ceiling rate 5.5%,no,
5078,GK_CUT,0.10,behavior,Guyton-Klinger,Per-trigger cut 10%,no,
5081,GK_FLOOR,0.03,behavior,Guyton-Klinger,Floor rate 3.0%,no,
5083,GK_RAISE,0.10,behavior,Guyton-Klinger,Per-trigger raise 10%,no,
4607,GLIDE_SPD,0.02,defaults,allocation,2%/yr equity reduction,no,
4750,GLIDE_FLOOR,0.25,defaults,allocation,Min equity factor 25%,no,
4774,GLIDE_EQ_FLOOR,0.20,defaults,allocation,Min equity per account 20%,no,
4987,PARTIAL_INDEXATION,0.5,defaults,pension,penIdx=1 half-inflation,no,
4993,PEN_MER,0.01,defaults,fees,DC plan MER 1%,no,
4994,DC_RRIF_AGE,72,gov-programs,RRIF,DC converts at 72,rarely,
4994,DC_PRE72_RATE,0.04,defaults,pension,DC withdrawal rate 4%,no,L3863 L5004 L5036 L5039
5015,MELT_TGT_DEFAULT,58523,fiscal,meltdown,Default meltdown target,no,L5253
5106,SALARY_VOL_FLOOR,0.2,stress,salary,Min salary multiplier,no,
5109,DISAB_MONTHS,6,stress,disability,Default months per event,no,
5344,WD_SAMPLE_SIMS,30,defaults,MC-sampling,Sims for median withdrawal,no,
5937,RUIN_THRESHOLD,100,defaults,MC-ruin,Below $100 = ruined,no,
6089,SHORTFALL_INTERVAL,3,defaults,MC-output,Every 3 years,no,
6094,SENS_SIMS,50,defaults,sensitivity,Max sims per scenario,no,
6167,HISTOGRAM_BINS,"8-20 (sqrt N)",defaults,MC-output,Histogram bin range,no,
6181,DEATH_RUIN_MAX_AGE,105,mortality,analysis,Chart cap age,no,
